qe,qc,vc,qs,vs,x1,x2,ref1,ref2,erro1,erro2,erro,control_elapsed
4.0,3.209438550004865,80.67203414346889,1.144803760729635,100,3.9568730397855143,1.3105756285835326,4.0,4.0,0.0431269602144857,2.689424371416467,2.732551331630953,808.4328174591064
4.0,3.978580927463928,100.0,1.1676871843847891,100,3.957276546087299,1.3634934206973113,4.0,4.0,0.042723453912700826,2.6365065793026887,2.6792300332153896,226.80997848510742
4.0,3.5461580373214616,89.03514837285915,1.186554743627332,100,3.965821863485708,1.4079121582819942,4.0,4.0,0.034178136514292135,2.5920878417180058,2.626265978232298,1090.4555320739746
4.0,3.549944647330765,89.03514837285915,1.2050112134768332,100,3.9742958453251327,1.4520520184171646,4.0,4.0,0.025704154674867308,2.547947981582835,2.5736521362577025,1290.0567054748535
4.0,3.5536956961720896,89.03514837285915,1.223078022273423,100,3.982699162250807,1.4959198381279584,4.0,4.0,0.01730083774919322,2.5040801618720416,2.521380999621235,1278.0556678771973
4.0,3.991421187591374,100.0,1.2440373575457944,100,3.982860772989617,1.5476289733445414,4.0,4.0,0.017139227010383173,2.4523710266554586,2.4695102536658418,312.21532821655273
4.0,3.991501408577509,100.0,1.2644964770653737,100,3.983020872481589,1.598951359527207,4.0,4.0,0.01697912751841102,2.4010486404727933,2.4180277679912043,841.5358066558838
4.0,3.991580877830188,100.0,1.2844828095719463,100,3.9831794748885723,1.6498961006393227,4.0,4.0,0.01682052511142773,2.3501038993606773,2.366924424472105,813.0278587341309
4.0,3.991659602423255,100.0,1.3040213964191774,100,3.9833365942391477,1.7004718091804505,4.0,4.0,0.016663405760852346,2.2995281908195495,2.316191596580402,866.0011291503906
4.0,3.991737589363438,100.0,1.3231351581430835,100,3.9834922444298915,1.7506866485503234,4.0,4.0,0.01650775557010853,2.2493133514496764,2.265821107019785,844.5746898651123
4.0,3.991814845590996,100.0,1.3418451375196807,100,3.983646439226628,1.8005483704746208,4.0,4.0,0.0163535607733718,2.199451629525379,2.215805190298751,884.751558303833
