x1,qe,vc,x2,vs,diff1,diff2
2.06,0.29,20.0,3.81,33.0,-0.086864918806983,-0.023875110458680293
7.17,0.67,79.0,5.63,54.0,-1.061695650244145,0.8454537417477344
2.29,3.09,69.0,0.3,22.0,0.29216822061918446,0.6243292705478349
0.01,1.8800000000000001,75.0,0.1,94.0,0.3784065442269691,0.1181875764346775
9.8,0.7000000000000001,44.0,1.79,85.0,-0.6280871597632167,0.46589568089429845
1.5,1.42,23.0,7.45,81.0,0.26019676069741027,-0.4941515854721157
7.16,2.92,36.0,11.69,1.0,0.3040500868788225,0.3100000000000005
11.3,0.96,76.0,3.8200000000000003,54.0,-1.2511344756862517,1.1873334563464537
0.81,3.12,90.0,9.040000000000001,69.0,0.407024255806556,-0.067557792767861
10.200000000000001,2.32,4.0,11.84,87.0,0.643908462350856,-0.8373030087399655
1.67,1.98,35.0,9.09,32.0,0.32264376195180855,-0.0027376995441379393
10.21,1.83,14.0,0.56,10.0,0.29030289856931724,0.2560810991269411
11.81,2.22,37.0,0.14,79.0,-0.09927454104269984,0.6280760003968325
6.04,4.0,85.0,6.84,36.0,-0.05271728878721493,0.9973987602715644
3.86,0.01,29.0,0.7000000000000001,36.0,-0.3448350557704494,0.24426172012278713
4.32,1.77,18.0,6.79,34.0,0.31506666962675123,-0.03756979504736346
6.12,2.94,81.0,6.57,32.0,-0.3169989379927527,0.9668618306253238
1.01,3.72,28.0,5.18,75.0,0.949765059718412,-0.30558592368601545
4.98,1.8900000000000001,60.0,2.74,67.0,-0.23608180275476176,0.46361512872505983
6.59,2.7,5.0,1.56,74.0,0.7612519608502168,-0.19640765139512806
12.19,2.86,1.0,10.040000000000001,32.0,-0.1899999999999995,-0.2926916845780756
7.390000000000001,2.2800000000000002,5.0,6.69,0.0,0.6257728289192404,0.08707899777714623
5.92,0.25,13.0,5.89,69.0,-0.11856881219501858,-0.3196010849894968
1.56,3.66,33.0,1.95,88.0,0.8532267876070936,-0.08262617878136824
1.81,1.49,27.0,3.59,57.0,0.23141480621269084,-0.0994666244878224
0.15,1.56,7.0,6.05,50.0,0.4609087796203525,-0.35036393473648353
1.3900000000000001,3.69,47.0,8.76,89.0,0.7621789430474037,-0.4136769510676963
11.01,1.61,82.0,6.43,52.0,-1.1515409103050178,1.214276097425988
5.42,3.74,51.0,10.88,29.0,0.41256884983815745,0.45692494820196217
6.04,1.53,94.0,11.74,69.0,-0.9088090040757244,0.2599999999999998
8.52,1.43,84.0,10.66,69.0,-1.03717500741437,0.7577380663400604
0.79,0.22,100.0,7.58,26.0,-0.40264495076392404,0.22917075035068457
4.33,0.43,58.0,3.67,52.0,-0.5930835822223837,0.40218697494597055
10.88,3.79,44.0,12.8,3.0,0.2716150085421063,-0.8000000000000007
8.21,1.71,4.0,11.53,53.0,0.4617436058023543,-0.48359663789401
9.09,2.97,40.0,9.35,46.0,0.17082980982720208,0.314763497127279
3.45,1.85,54.0,5.2,85.0,-0.04659953933319061,0.018033174120402506
6.0600000000000005,1.99,37.0,4.79,56.0,0.05139071604187251,0.18404624882045262
6.43,1.31,57.0,1.41,90.0,-0.476820029206257,0.5189451219414167
7.41,2.71,63.0,1.96,49.0,-0.2169830479537067,0.8264530574749864
9.6,3.42,46.0,0.43,12.0,0.17391071215519815,0.8612170082392652
2.63,0.64,37.0,4.8,43.0,-0.16886471594992614,0.07210322072937014
0.66,1.32,68.0,1.21,58.0,0.05926667269820918,0.14934419971144663
12.58,0.61,30.0,2.96,62.0,-0.9431495719265559,0.3051862514955044
2.8000000000000003,1.24,55.0,12.530000000000001,14.0,-0.178285927615649,-0.5300000000000011
3.0700000000000003,3.89,34.0,7.24,37.0,0.819240652942892,0.08903699524385722
12.22,1.35,83.0,8.32,1.0,-1.3402055775100443,1.7423787322233775
10.08,1.7,19.0,12.49,98.0,0.1528008156795373,-1.025881230835635
10.86,2.12,4.0,8.790000000000001,37.0,0.5790244559016511,-0.2565865009781927
6.69,0.72,31.0,8.97,90.0,-0.27099301733079617,-0.3393323839348348
6.01,3.62,99.0,10.94,26.0,-0.3620586792908602,1.0600000000000005
5.47,1.18,29.0,10.83,82.0,-0.05410135521711634,-0.4125221447951066
4.07,2.54,52.0,0.59,4.0,0.1327008654371724,0.6502160632229267
2.48,0.06,38.0,10.06,6.0,-0.3418882374484151,0.29804968481592375
8.07,1.11,86.0,12.13,95.0,-1.1246354734120496,-0.13000000000000078
8.86,1.06,66.0,6.61,99.0,-0.8657221711382572,0.38358839787557564
5.36,0.37,14.0,5.3,99.0,-0.08613353094369725,-0.4936037213083777
3.09,0.5,80.0,0.37,88.0,-0.6717377518818699,0.5925108461348492
0.01,0.59,23.0,8.85,85.0,0.14395677553207056,-0.7291292014951285
4.3500000000000005,1.44,61.0,3.21,47.0,-0.3296602811841405,0.5032246278196748
12.73,1.33,58.0,9.3,91.0,-1.3880889917305534,0.3679113963654892
3.21,2.47,66.0,4.8500000000000005,53.0,0.031004698718853252,0.3695793123568327
1.93,2.75,68.0,10.870000000000001,91.0,0.24977906941764627,-0.3172499565524216
11.88,0.51,6.0,11.370000000000001,64.0,0.030040591558973873,-0.5369710218352104
2.14,1.54,46.0,11.81,95.0,0.05780063225525023,-0.5834017969334422
9.790000000000001,1.76,24.0,4.79,68.0,0.07970755682895891,0.005282133451964377
